species_code,scientific_name,common_name,functional_group,climate_zone,topographic_position,elevation_niche,moisture_regime,soil_substrate,shade_tolerance,successional_stage,formatted_description
BF,Abies balsamea,Balsam Fir,Coniferous needleleaf tree,Boreal to cool temperate climates,"Moist lowlands, cold mountain slopes, river valleys",Lowland flats to high mountain ridges,Mesic to hydric,Cool moist acidic organic soils and heavy loams,Very tolerant,Climax species,"Species: Abies balsamea (Balsam Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Moist lowlands, cold mountain slopes, river valleys; Lowland flats to high mountain ridges. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Cool moist acidic organic soils and heavy loams. Ecological Traits: Very tolerant shade tolerance; Climax species."
FB,Abies fraseri,Fraser Fir,Coniferous needleleaf tree,Cool humid montane climates,High elevation mountain summits and ridges,High mountain peaks,Mesic to wet-mesic,"Cool, moist, acidic loams",Very tolerant,High-elevation climax species,"Species: Abies fraseri (Fraser Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool humid montane climates. Topography & Elevation: Found in High elevation mountain summits and ridges; High mountain peaks. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cool, moist, acidic loams. Ecological Traits: Very tolerant shade tolerance; High-elevation climax species."
FG,Abies grandis,Grand Fir,Coniferous needleleaf tree,Cool maritime to humid continental climates,"Valley bottoms, stream terraces, gentle slopes",Lowland to mid-elevation valleys,Mesic,"Deep, rich, moist alluvial soils",Tolerant,Late-successional species,"Species: Abies grandis (Grand Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool maritime to humid continental climates. Topography & Elevation: Found in Valley bottoms, stream terraces, gentle slopes; Lowland to mid-elevation valleys. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist alluvial soils. Ecological Traits: Tolerant shade tolerance; Late-successional species."
FL,Abies lasiocarpa,Subalpine Fir,Coniferous needleleaf tree,Cold alpine and subarctic climates,"High elevation mountain basins, timberline ridges",Subalpine timberlines,Mesic to wet-mesic,"Cold, moist, rocky gravelly loams",Very tolerant,Subalpine climax species,"Species: Abies lasiocarpa (Subalpine Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cold alpine and subarctic climates. Topography & Elevation: Found in High elevation mountain basins, timberline ridges; Subalpine timberlines. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cold, moist, rocky gravelly loams. Ecological Traits: Very tolerant shade tolerance; Subalpine climax species."
FM,Abies amabilis,Pacific Silver Fir,Coniferous needleleaf tree,Cool wet maritime climates,High precipitation mountain slopes,Mid-to-high mountain slopes,Mesic to hydric,"Deep, cool, moist acidic organic loams",Very tolerant,Climax species,"Species: Abies amabilis (Pacific Silver Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool wet maritime climates. Topography & Elevation: Found in High precipitation mountain slopes; Mid-to-high mountain slopes. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Deep, cool, moist acidic organic loams. Ecological Traits: Very tolerant shade tolerance; Climax species."
FS,Abies concolor,White Fir,Coniferous needleleaf tree,Cool dry continental montane climates,"Mountain slopes, high plateaus",Mid-elevation mountain slopes,Mesic to dry-mesic,"Deep, rich, well-drained gravelly loams",Tolerant,Climax species,"Species: Abies concolor (White Fir). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool dry continental montane climates. Topography & Elevation: Found in Mountain slopes, high plateaus; Mid-elevation mountain slopes. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Deep, rich, well-drained gravelly loams. Ecological Traits: Tolerant shade tolerance; Climax species."
CE,Thuja occidentalis,Eastern White Cedar,Coniferous scale-leaf tree,Boreal and Great Lakes-St. Lawrence climates,"Limestone cliff edges, cedar swamps, riverbanks",Lowland swamps to rocky bluffs,Wet-mesic to hydric,"Alkaline calcareous soils, organic peat, moist limestone",Very tolerant,Climax species in swamps and bluffs,"Species: Thuja occidentalis (Eastern White Cedar). Taxonomy & Functional Type: Coniferous scale-leaf tree. Climate Niche: Thrives in Boreal and Great Lakes-St. Lawrence climates. Topography & Elevation: Found in Limestone cliff edges, cedar swamps, riverbanks; Lowland swamps to rocky bluffs. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Alkaline calcareous soils, organic peat, moist limestone. Ecological Traits: Very tolerant shade tolerance; Climax species in swamps and bluffs."
CW,Thuja plicata,Western Redcedar,Coniferous scale-leaf tree,Cool humid maritime and inland wet-belt climates,"Moist river valleys, alluvial flats, shaded ravines",Lowland to mid-elevation valleys,Mesic to hydric,"Deep, moist, rich organic silt and clay loams",Very tolerant,Late-successional climax species,"Species: Thuja plicata (Western Redcedar). Taxonomy & Functional Type: Coniferous scale-leaf tree. Climate Niche: Thrives in Cool humid maritime and inland wet-belt climates. Topography & Elevation: Found in Moist river valleys, alluvial flats, shaded ravines; Lowland to mid-elevation valleys. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Deep, moist, rich organic silt and clay loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
CY,Chamaecyparis nootkatensis,Yellow Cedar,Coniferous scale-leaf tree,Cool wet maritime alpine transition climates,"Snowpack mountain slopes, avalanche chutes, bogs",Subalpine moist slopes,Wet-mesic to hydric,"Cold organic muck, wet shallow rocky soils",Very tolerant,Subalpine climax species,"Species: Chamaecyparis nootkatensis (Yellow Cedar). Taxonomy & Functional Type: Coniferous scale-leaf tree. Climate Niche: Thrives in Cool wet maritime alpine transition climates. Topography & Elevation: Found in Snowpack mountain slopes, avalanche chutes, bogs; Subalpine moist slopes. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Cold organic muck, wet shallow rocky soils. Ecological Traits: Very tolerant shade tolerance; Subalpine climax species."
CR,Juniperus virginiana,Eastern Redcedar,Coniferous scale-leaf tree,Deciduous and Carolinian warm temperate climates,"Dry limestone outcrops, abandoned pastures, sandy bluffs",Upland exposed crests and fields,Xeric to dry-mesic,"Shallow rocky limestone, alkaline dry sands",Intolerant,Pioneer species on dry limestone,"Species: Juniperus virginiana (Eastern Redcedar). Taxonomy & Functional Type: Coniferous scale-leaf tree. Climate Niche: Thrives in Deciduous and Carolinian warm temperate climates. Topography & Elevation: Found in Dry limestone outcrops, abandoned pastures, sandy bluffs; Upland exposed crests and fields. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Shallow rocky limestone, alkaline dry sands. Ecological Traits: Intolerant shade tolerance; Pioneer species on dry limestone."
LA,Larix laricina,Tamarack,Deciduous coniferous tree,Boreal to subarctic cold climates,"Open bogs, fen margins, wet lowlands",Lowland depressions and flat bogs,Hydric to wet-mesic,"Wet organic peat, poorly drained cold mineral soils",Very intolerant,Pioneer species on wet bogs,"Species: Larix laricina (Tamarack). Taxonomy & Functional Type: Deciduous coniferous tree. Climate Niche: Thrives in Boreal to subarctic cold climates. Topography & Elevation: Found in Open bogs, fen margins, wet lowlands; Lowland depressions and flat bogs. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic peat, poorly drained cold mineral soils. Ecological Traits: Very intolerant shade tolerance; Pioneer species on wet bogs."
LE,Larix decidua,European Larch,Deciduous coniferous tree,Cool temperate introduced climates,"Upland plantations, well-drained hillsides",Lowland to mid-elevation slopes,Mesic to dry-mesic,"Deep, well-drained loams and gravels",Very intolerant,Pioneer introduced species,"Species: Larix decidua (European Larch). Taxonomy & Functional Type: Deciduous coniferous tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Upland plantations, well-drained hillsides; Lowland to mid-elevation slopes. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Deep, well-drained loams and gravels. Ecological Traits: Very intolerant shade tolerance; Pioneer introduced species."
LW,Larix occidentalis,Western Larch,Deciduous coniferous tree,Cool humid montane climates,"Moist mountain slopes, valley benches",Mid-elevation mountain slopes,Mesic to dry-mesic,"Deep, moist, gravelly loams",Very intolerant,Fire-adapted pioneer species,"Species: Larix occidentalis (Western Larch). Taxonomy & Functional Type: Deciduous coniferous tree. Climate Niche: Thrives in Cool humid montane climates. Topography & Elevation: Found in Moist mountain slopes, valley benches; Mid-elevation mountain slopes. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Deep, moist, gravelly loams. Ecological Traits: Very intolerant shade tolerance; Fire-adapted pioneer species."
LS,Larix sibirica,Siberian Larch,Deciduous coniferous tree,Severe cold continental boreal climates,"Lowland plains, river basins",Lowland plains,Mesic to wet-mesic,"Cold mineral clays and wet peat",Very intolerant,Pioneer species,"Species: Larix sibirica (Siberian Larch). Taxonomy & Functional Type: Deciduous coniferous tree. Climate Niche: Thrives in Severe cold continental boreal climates. Topography & Elevation: Found in Lowland plains, river basins; Lowland plains. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cold mineral clays and wet peat. Ecological Traits: Very intolerant shade tolerance; Pioneer species."
HE,Tsuga canadensis,Eastern Hemlock,Coniferous needleleaf tree,Great Lakes-St. Lawrence temperate climates,"Cool moist ravines, north-facing slopes, lake shores",Upland valleys and shaded slopes,Mesic to wet-mesic,"Deep, moist, highly acidic loams and organic soils",Extremely tolerant,Late-successional climax species,"Species: Tsuga canadensis (Eastern Hemlock). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Cool moist ravines, north-facing slopes, lake shores; Upland valleys and shaded slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, highly acidic loams and organic soils. Ecological Traits: Extremely tolerant shade tolerance; Late-successional climax species."
HW,Tsuga heterophylla,Western Hemlock,Coniferous needleleaf tree,Cool wet maritime and inland rainforest climates,"Moist coastal slopes, shaded river valleys",Lowland coastal to mid-elevation slopes,Mesic to hydric,"Deep, moist, acidic organic-rich soils",Very tolerant,Climax species,"Species: Tsuga heterophylla (Western Hemlock). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Cool wet maritime and inland rainforest climates. Topography & Elevation: Found in Moist coastal slopes, shaded river valleys; Lowland coastal to mid-elevation slopes. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Deep, moist, acidic organic-rich soils. Ecological Traits: Very tolerant shade tolerance; Climax species."
HM,Tsuga mertensiana,Mountain Hemlock,Coniferous needleleaf tree,Subalpine snowy alpine transition climates,"High elevation mountain ridges, snowfields",High subalpine timberline,Mesic to wet-mesic,"Cold, moist, shallow gravelly loams",Very tolerant,Subalpine climax species,"Species: Tsuga mertensiana (Mountain Hemlock). Taxonomy & Functional Type: Coniferous needleleaf tree. Climate Niche: Thrives in Subalpine snowy alpine transition climates. Topography & Elevation: Found in High elevation mountain ridges, snowfields; High subalpine timberline. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cold, moist, shallow gravelly loams. Ecological Traits: Very tolerant shade tolerance; Subalpine climax species."
TA,Taxus brevifolia,Pacific Yew,Coniferous evergreen understory tree,Cool wet maritime climates,"Shaded stream banks, deep moist forest ravines",Lowland to mid-elevation shaded understories,Mesic to wet-mesic,"Deep, moist, rich organic loams",Extremely tolerant,Understory climax species,"Species: Taxus brevifolia (Pacific Yew). Taxonomy & Functional Type: Coniferous evergreen understory tree. Climate Niche: Thrives in Cool wet maritime climates. Topography & Elevation: Found in Shaded stream banks, deep moist forest ravines; Lowland to mid-elevation shaded understories. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, rich organic loams. Ecological Traits: Extremely tolerant shade tolerance; Understory climax species."
TE,Taxus canadensis,Canada Yew,Coniferous evergreen shrub,Boreal to cool temperate climates,"Shaded coniferous forests, moist swamps, riverbanks",Moist forest understory,Mesic to wet-mesic,"Cool, moist, acidic loams and peat",Extremely tolerant,Understory climax shrub,"Species: Taxus canadensis (Canada Yew). Taxonomy & Functional Type: Coniferous evergreen shrub. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Shaded coniferous forests, moist swamps, riverbanks; Moist forest understory. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Cool, moist, acidic loams and peat. Ecological Traits: Extremely tolerant shade tolerance; Understory climax shrub."
OC,Coniferae spp.,Conifer (Unspecified),Coniferous tree,Boreal to temperate climates,Variable coniferous forest sites,Lowland to upland sites,Xeric to hydric,Variable mineral and organic soils,Variable,Variable successional stage,"Species: Coniferae spp. (Conifer (Unspecified)). Taxonomy & Functional Type: Coniferous tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Variable coniferous forest sites; Lowland to upland sites. Soil & Hydrology: Prefers Xeric to hydric moisture regimes and Variable mineral and organic soils. Ecological Traits: Variable shade tolerance; Variable successional stage."
PO,Populus tremuloides,Trembling Aspen,Deciduous broadleaf hardwood tree,Boreal to temperate climates,"Disturbed uplands, burn sites, forest edges",Lowland flats to high ridges,Dry-mesic to mesic,"Adaptable loams, sandy loams, shallow clays",Very intolerant,Pioneer species after fire or logging,"Species: Populus tremuloides (Trembling Aspen). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Disturbed uplands, burn sites, forest edges; Lowland flats to high ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Adaptable loams, sandy loams, shallow clays. Ecological Traits: Very intolerant shade tolerance; Pioneer species after fire or logging."
PL,Populus grandidentata,Largetooth Aspen,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence temperate climates,"Sand plains, dry upland slopes, logged areas",Upland crests and upper slopes,Xeric to dry-mesic,"Coarse sandy loams, gravelly well-drained soils",Intolerant,Pioneer species on dry sands,"Species: Populus grandidentata (Largetooth Aspen). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Sand plains, dry upland slopes, logged areas; Upland crests and upper slopes. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse sandy loams, gravelly well-drained soils. Ecological Traits: Intolerant shade tolerance; Pioneer species on dry sands."
